Date,Year,Month Num,Month,MMM-YYYY,Day Number,Day Name
5/17/2021,2021,5,May,May-21,2,Monday
5/18/2021,2021,5,May,May-21,3,Tuesday
5/19/2021,2021,5,May,May-21,4,Wednesday
5/20/2021,2021,5,May,May-21,5,Thursday
5/21/2021,2021,5,May,May-21,6,Friday
5/22/2021,2021,5,May,May-21,7,Saturday
5/23/2021,2021,5,May,May-21,1,Sunday
5/24/2021,2021,5,May,May-21,2,Monday
5/25/2021,2021,5,May,May-21,3,Tuesday
5/26/2021,2021,5,May,May-21,4,Wednesday
5/27/2021,2021,5,May,May-21,5,Thursday
5/28/2021,2021,5,May,May-21,6,Friday
